"","number","name","already_taken","category","X","weight_Ukraine","weight_kyiv"
"128",122,"Горілка преміум класу",NA,"Алкогольні напої","","0,00239","0,00253"
"129",123,"Коньяк",TRUE,"Алкогольні напої","","0,00389","0,00329"
"130",124,"Вина столові вітчизняні",NA,"Алкогольні напої","","0,00496","0,00565"
"131",125,"Вина столові імпортні",NA,"Алкогольні напої","","0,00533","0,00607"
"132",126,"Вина ігристі",NA,"Алкогольні напої","","0,00506","0,00493"
"133",127,"Пиво вітчизняних марок",NA,"Алкогольні напої","","0,01301","0,01175"
"134",128,"Пиво, виготовлене за ліцензією",NA,"Алкогольні напої","","0,00156","0,00141"
"135",129,"Сигарети з фільтром вітчизняних марок",NA,"Тютюнові вироби","","0,01163","0,01203"
"136",130,"Сигарети з фільтром медіум класу",NA,"Тютюнові вироби","","0,01526","0,01579"
"137",131,"Сигарети з фільтром преміум класу",NA,"Тютюнові вироби","","0,00524","0,00542"
"138",132,"Сигарети без фільтру",NA,"Тютюнові вироби","","0,00125","0,00014"
