"Індекси споживчих цін на на продукти харчування, алкогольні напої, тютюнові вироби у 2021 році по Україні1 ",,,,,,
(до попереднього місяця; відсотків),,,,,,
,,Липень,Серпень,Вересень,Жовтень,Листопад
105,Морозиво (100 г),"100,7","100,1","99,3","103,3","101,0"
106,Кетчуп томатний (500 г),"99,6","100,7","101,6","99,4","101,3"
107,Майонез (500 г),"102,0","101,6","100,7","100,9","101,1"
108,Сіль,"100,2","100,2","102,0","101,7","102,1"
109,Часник,"100,3","102,2","104,8","100,9","100,0"
110,Спеції (20 г),"100,2","101,3","100,7","100,2","101,2"
111,Супи (100 г),"100,4","100,8","99,0","101,2","100,2"
112,Молочні суміші для дитячого харчування (250 г),"100,8","99,8","100,2","100,8","100,9"
113,Кава мелена (250 г),"99,7","99,2","99,5","101,4","100,7"
114,Кава розчинна (100 г),"100,4","100,3","100,1","100,9","99,9"
115,Чай (100 г),"100,0","100,2","100,0","101,3","99,3"
116,Вода столово-мінеральна,"100,3","101,3","100,7","101,0","99,3"
117,Вода питна,"99,7","100,8","100,8","100,6","100,5"
118,Напої безалкогольні,"100,7","100,7","100,2","100,1","101,4"
119,Соки фруктово-ягідні,"100,4","100,6","99,6","102,0","100,3"
120,"Горілка (0,5 л)","100,2","100,1","100,3","100,3","100,2"
121,"Горілка преміум класу (0,5 л)","101,4","98,0","101,3","99,9","101,0"
122,"Коньяк (0,5 л)","100,5","99,8","100,1","100,8","99,3"
123,"Вина столові вітчизняні (0,75 л)","100,3","100,5","100,0","100,0","101,0"
124,"Вина столові імпортні (0,75 л)","100,6","98,2","100,9","101,4","98,0"
125,"Вина ігристі (0,75 л)","101,2","99,4","100,0","100,2","100,3"
126,"Пиво вітчизняних марок (0,5 л)","101,0","100,4","101,2","99,5","101,1"
127,"Пиво, виготовлене за ліцензією (0,5 л) ","101,7","99,9","100,4","100,9","98,2"
128,"Сигарети з фільтром вітчизняних мароки, пачка (20 штук)","101,0","101,2","101,0","101,1","101,1"
129,"Сигарети з фільтром медіум класу, пачка (20 штук)","100,8","100,8","101,2","101,0","101,1"
130,"Сигарети з фільтром преміум класу, пачка (20 штук)","100,7","100,9","101,2","101,2","101,4"
131,"Сигарети без фільтру, пачка (20 штук)","101,4","100,8","100,6","101,5","100,5"
,,,,,,
"       1 Без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях.

",,,,,,
"       Застереження: наведені середні ціни є первинною базою для розрахунків індексів споживчих цін та, відповідно до мети спостереження, не призначені для інших цілей, зокрема, для оцінки тендерних пропозицій та визначення переможців під час проведення торгів згідно з процедурами, встановленими Законом України ""Про публічні закупівлі"".",,,,,,
