"item","weight","month","price","cpi","price_min","price_q1","cpi_min","cpi_q1","sample"
"сухофрукти",NA,2021-10-01,136.11,104.8,61.9,156,100,96.6,71
"картопля",NA,2021-10-01,8.69,104.2,7.3,12.795,93.6,100.75,19
"цукор",NA,2021-10-01,27.8,96.9,25.8333333333333,27.975,94.3,99.911,11
"мед",NA,2021-10-01,146.06,101.6,65.45,170.475,47,113,78
"цукерки шоколадні",NA,2021-10-01,168.06,101.1,123.9,369.382352941177,100,119,71
"морозиво",100,2021-10-01,20.44,103.3,2.39,17.23,100,111,408
"кава мелена",250,2021-10-01,84.24,101.4,41.46875,72.65,88,104.6,206
"горілка",500,2021-10-01,94.11,100.3,89.4,90,100,97.7,193
"рис",NA,2021-11-01,28.2,100.9,20.3,49.25,100,121,93
"борошно пшеничне",NA,2021-11-01,14.66,101,13.7,17.1,101.9,111,24
"яловичина",NA,2021-11-01,179.37,102,125.95,232.95,100,106.9,31
"свинина",NA,2021-11-01,123.84,99.3,113.95,117.95,121,96.7,14
"філе куряче",NA,2021-11-01,117.41,99.8,54.38,129.7,103,102.3,23
"ковбаси варені вґ",NA,2021-11-01,175.94,102,105,161.06,90,96.8,29
"ковбаси варені 1ґ",NA,2021-11-01,116.41,100.6,60.9195402298851,106.83,102.3,100,14
"сосиски, сардельки вґ",NA,2021-11-01,166.76,103.2,98.5818181818182,179.38,100,103.1,45
"морепродукти",NA,2021-11-01,188.35,99.8,9.9,182.5,83,92.6,115
"молоко 2.5%",NA,2021-11-01,27.96,101.1,25.8777777777778,31.75,106.3,109.4,37
"молоко 3.2%",NA,2021-11-01,28.81,103.9,25.8947368421053,32.8025,89,99.79,27
"сметана 10-15%",NA,2021-11-01,74.43,102,33.6231884057971,75.2105263157895,87,97.1,47
"олія оливкова",NA,2021-11-01,300.01,100.2,171.8,328,149,96.3,101
"олія соняшникова",NA,2021-11-01,62.32,99.5,50.4705882352941,63,96.2,93,42
"апельсини",NA,2021-11-01,40.96,91.3,18.9,42.9,44,96.4,13
"яблука",NA,2021-11-01,13.09,87.9,6.9,15.9,78,94.6,46
"сухофрукти",NA,2021-11-01,143.37,103.7,61.9,169.9,100,108.9,71
"картопля",NA,2021-11-01,8.61,98.5,6.9,12.9,94.5,100.82,19
"цукор",NA,2021-11-01,28.2,101.2,25.8333333333333,27.2,100,97.2,11
"мед",NA,2021-11-01,148.67,101.6,65.45,159.78,100,93.7,78
"цукерки шоколадні",NA,2021-11-01,168.85,100.5,105,331.930392156863,85,90,71
"морозиво",100,2021-11-01,20.73,101,2.39,17.9656015037594,100,104.3,408
"кава мелена",250,2021-11-01,85.09,100.7,41.8,69.4875,100.8,95.6,206
"горілка",500,2021-11-01,94.22,100.2,89.4,92.1428571428571,100,102.4,193
