"name","month","price","measure","mode","category","inflation_dynamic","inflation","short_name","picture"
"майонез","2021-08-01",73.3820512820513,"Q1",0.3,"соуси та спеції",98.1,100,"майонез","species.png"
"паста томатна","2021-08-01",63.7270531400966,"Q1",0.07,"соуси та спеції",112,100,"паста томатна","species.png"
"віскі","2021-08-01",529,"Q1",0.7,"алкоголь",100,100,"віскі","alcohol.png"
"пиво","2021-08-01",40.7,"Q1",0.5,"алкоголь",107.8,100,"пиво","alcohol.png"
"кетчуп томатний","2021-08-01",46.7777777777778,"Q1",0.25,"соуси та спеції",101.7,100,"кетчуп томатний","species.png"
"олія соняшникова","2021-08-01",69.395,"Q1",0.85,"олія",101.5,100,"олія соняшникова","oil.png"
"олія оливкова","2021-08-01",332.16,"Q1",0.5,"олія",101,100,"олія оливкова","oil.png"
"консерви рибні в олії","2021-08-01",238.125,"Q1",0.24,"риба та морепродукти",104.1,100,"консерви рибні в олії","fish.png"
"кукурудза консервована","2021-08-01",84.3658088235294,"Q1",0.34,"консервовані овочі і гриби",100,100,"кукурудза консервована","conservation.png"
"горошок консервований","2021-08-01",64.2672883787661,"Q1",0.4,"консервовані овочі і гриби",100,100,"горошок консервований","conservation.png"
"гриби консервовані","2021-08-01",121.968630136986,"Q1",0.58,"консервовані овочі і гриби",108.6,100,"гриби консервовані","conservation.png"
"зефір","2021-08-01",110.6975,"Q1",1,"солодощі",104.2,100,"зефір","sweets.png"
"цукерки шоколадні","2021-08-01",226.656730769231,"Q1",0.2,"солодощі",73,100,"цукерки шоколадні","sweets.png"
"карамель","2021-08-01",65.025,"Q1",1,"солодощі",92.5,100,"карамель","sweets.png"
"коньяк","2021-08-01",304,"Q1",0.5,"алкоголь",100.016,100,"коньяк","alcohol.png"
"вафлі","2021-08-01",113.05,"Q1",1,"солодощі",92.8,100,"вафлі","sweets.png"
"печиво здобне","2021-08-01",104.146428571429,"Q1",0.3,"солодощі",96.9,100,"печиво здобне","sweets.png"
"печиво затяжне","2021-08-01",78.9394444444444,"Q1",0.11,"солодощі",108,100,"печиво затяжне","sweets.png"
"сік апельсиновий","2021-08-01",35.9236842105263,"Q1",1,"безалкогольні напої",85,100,"сік апельсиновий","non_alcohol_drinks.png"
"сік яблучний","2021-08-01",22.4,"Q1",1,"безалкогольні напої",97.3,100,"сік яблучний","non_alcohol_drinks.png"
"шампанське","2021-08-01",145.673333333333,"Q1",0.75,"алкоголь",70,100,"шампанське","alcohol.png"
"кава мелена","2021-08-01",282.533333333333,"Q1",0.25,"кава і чай",101.6,100,"кава мелена","coffee_tea.png"
"кава розчинна","2021-08-01",855.541021671827,"Q1",0.1,"кава і чай",102.5,100,"кава розчинна","coffee_tea.png"
"чай у пакетиках","2021-08-01",587.2,"Q1",0.05,"кава і чай",102.4,100,"чай у пакетиках","coffee_tea.png"
"солодка вода","2021-08-01",14.04,"Q1",0.5,"безалкогольні напої",116,100,"солодка вода","non_alcohol_drinks.png"
"вино біле сухе","2021-08-01",143.8,"Q1",0.75,"алкоголь",98.5,100,"вино біле сухе","alcohol.png"
"вино червоне сухе","2021-08-01",144.613333333333,"Q1",0.75,"алкоголь",102.4,100,"вино червоне сухе","alcohol.png"
"горілка","2021-08-01",180.738888888889,"Q1",0.5,"алкоголь",98.1,100,"горілка","alcohol.png"
"сигарети з фільтром медіум класу","2021-08-01",58,"Q1",1,"сигарети",98.7,100,"сигарети з фільтром медіум класу","cigarettes.png"
"сигарети з фільтром преміум класу","2021-08-01",62.5,"Q1",1,"сигарети",100,100,"сигарети з фільтром преміум класу","cigarettes.png"
"молочні суміші для дитячого харчування","2021-08-01",493.321875,"Q1",0.4,"молочна продукція та яйця",93.2,100,"молочні суміші для дитячого харчування","milk.png"
"печиво здобне","2021-09-01",107.5,"Q1",0.3,"солодощі",102.5,103.2,"печиво здобне","sweets.png"
"хліб житньо-пшеничний","2021-09-01",47.68125,"Q1",0.4,"хліб",99.987,110,"хліб житньо-пшеничний","bread.png"
"батон","2021-09-01",43.4,"Q1",0.4,"хліб",111,98.7,"батон","bread.png"
