"name","month","price","measure","category","inflation_dynamic","inflation"
"сосиски, сардельки вищого ґатунку","2021-09-01",170.536666666667,"Q1","ковбасні вироби",98,100.073
"сосиски, сардельки першого ґатунку","2021-09-01",102.39,"Q1","ковбасні вироби",97.9,97.9
"ковбаси сирокопчені в/ґ","2021-09-01",378.893333333333,"Q1","ковбасні вироби",100.95,107.1
"ковбаси варені вищого ґатунку","2021-09-01",154.145,"Q1","ковбасні вироби",93.3,100.76
"ковбаси варено-копчені в/ґ","2021-09-01",224.401071428571,"Q1","ковбасні вироби",97.5,90.8
"ковбаси варені першого ґатунку","2021-09-01",106.6175,"Q1","ковбасні вироби",99.8,102.4
"оселедці","2021-09-01",152.407142857143,"Q1","риба та морепродукти",102,97.3
"скумбрія копчена","2021-09-01",196.12,"Q1","риба та морепродукти",85,106.1
"морепродукти","2021-09-01",225.115079365079,"Q1","риба та морепродукти",114,104.9
"ікра червона","2021-09-01",1266.20833333333,"Q1","риба та морепродукти",108.6,330
"риба морожена","2021-09-01",59.4,"Q1","риба та морепродукти",83,75
"філе мороженої риби","2021-09-01",129.071428571429,"Q1","риба та морепродукти",94.6,100
"броколі заморожена","2021-09-01",90.625,"Q1","овочі заморожені",121,81
"пшоно","2021-09-01",19.5,"Q1","бакалея",97.7,95.5
"молочні суміші для дитячого харчування","2021-09-01",529.4375,"Q1","молочна продукція та яйця",92.2,107.3
"сіль","2021-09-01",28.12,"Q1","соуси та спеції",100,105.7
"мед","2021-09-01",151.48,"Q1","солодощі",89,98.4
"солодка вода","2021-09-01",12.1333333333333,"Q1","безалкогольні напої",87,86
"карамель","2021-09-01",70.2675,"Q1","солодощі",98.5,108.1
"чай у пакетиках","2021-09-01",573.4,"Q1","кава і чай",100.81,97.6
"вафлі","2021-09-01",121.78373015873,"Q1","солодощі",99.73,107.7
"крупи гречані","2021-09-01",50.590625,"Q1","бакалея",100.78,100
"рис","2021-09-01",41.3725,"Q1","бакалея",102,102.9
"крупи манні","2021-09-01",19.1875,"Q1","бакалея",99.8,99.42
"пластівці вівсяні","2021-09-01",27.7,"Q1","бакалея",80,63
"квасоля","2021-09-01",90.175,"Q1","бакалея",100.19,100
"крупи ячні","2021-09-01",18.29375,"Q1","бакалея",102.7,102.7
"макарони","2021-09-01",54.8,"Q1","бакалея",114,103.5
"борошно пшеничне","2021-09-01",15.4444444444444,"Q1","бакалея",100,89
"цукор","2021-09-01",28,"Q1","бакалея",100.089,94.7
"ром","2021-09-01",350,"Q1","алкоголь",87,87
"супи","2021-09-01",199.8,"Q1","бакалея",100.65,106.6
"олія соняшникова","2021-09-01",68.3783333333333,"Q1","олія",100.91,98.5
"олія оливкова","2021-09-01",328.715,"Q1","олія",96.5,99
"віскі","2021-09-01",542.857142857143,"Q1","алкоголь",95.2,102.6
"пиво","2021-09-01",36.4325,"Q1","алкоголь",97.3,90
"консерви рибні в олії","2021-09-01",228.664855072464,"Q1","риба та морепродукти",98.3,96
"вино біле сухе","2021-09-01",143.823333333333,"Q1","алкоголь",94.5,100.016
"коньяк","2021-09-01",306,"Q1","алкоголь",100.72,100.66
"вино червоне сухе","2021-09-01",140.9,"Q1","алкоголь",96.1,97.4
"цукерки шоколадні","2021-09-01",309.465,"Q1","солодощі",84,137
"шампанське","2021-09-01",208.666666666667,"Q1","алкоголь",143,143
"горілка","2021-09-01",184.142857142857,"Q1","алкоголь",102.3,101.9
"майонез","2021-09-01",74.8026315789474,"Q1","соуси та спеції",99.74,101.9
"паста томатна","2021-09-01",56.9894444444444,"Q1","соуси та спеції",88,89
"кетчуп томатний","2021-09-01",46,"Q1","соуси та спеції",99.3,98.3
"кукурудза консервована","2021-09-01",84.3658088235294,"Q1","консервовані овочі і гриби",96.3,100
"горошок консервований","2021-09-01",64.2672883787661,"Q1","консервовані овочі і гриби",97.2,100
