"","name","month","value","measure","mode","inflation","category"
"1679","баклажани",2021-12-01,49.5,"Q1",1,0,"овочі"
"1680","перець солодкий",2021-12-01,34.9,"Q1",1,0,"овочі"
"1681","огірки",2021-12-01,47.9,"Q1",1,26,"овочі"
"1682","гриби",2021-12-01,72,"Q1",0.25,3.2,"овочі"
"1683","салати",2021-12-01,140,"Q1",1,-6.7,"овочі"
"1684","сухофрукти",2021-12-01,169.9,"Q1",0.2,0,"сухофрукти"
"1685","цукати",2021-12-01,265.133333333333,"Q1",0.15,0,"солодощі"
"1686","сири плавлені",2021-12-01,196,"Q1",0.09,1,"молочна продукція та яйця"
"1687","сири розсольні",2021-12-01,205.217391304348,"Q1",1,2.6,"молочна продукція та яйця"
"1688","крем-сир",2021-12-01,259.846153846154,"Q1",0.125,3.4,"молочна продукція та яйця"
"1689","молоко пастеризоване жирністю до 2,6% включно",2021-12-01,32.3333333333333,"Q1",0.9,1.8,"молочна продукція та яйця"
"1690","молоко з підвищеним вмістом жиру",2021-12-01,33.8754385964912,"Q1",0.95,3.3,"молочна продукція та яйця"
"1691","сири м’які нежирні",2021-12-01,134.464285714286,"Q1",0.2,1.2,"молочна продукція та яйця"
"1692","сири м’які жирні",2021-12-01,144.142857142857,"Q1",0.2,3.1,"молочна продукція та яйця"
"1693","сирки та сиркова маса",2021-12-01,135,"Q1",0.2,0,"молочна продукція та яйця"
"1694","сметана жирністю до 15% включно",2021-12-01,79.7199248120301,"Q1",0.35,6,"молочна продукція та яйця"
"1695","сметана з підвищеним вмістом жиру",2021-12-01,94,"Q1",0.35,0.43,"молочна продукція та яйця"
"1696","йогурт",2021-12-01,62.6086956521739,"Q1",0.115,0.06,"молочна продукція та яйця"
"1697","морозиво",2021-12-01,172.5,"Q1",0.07,-4,"солодощі"
"1698","кефір 2.5%",2021-12-01,34.2888888888889,"Q1",0.9,3.2,"молочна продукція та яйця"
"1699","масло вершкове 73%",2021-12-01,239,"Q1",0.2,1.2,"молочна продукція та яйця"
"1700","масло вершкове 82%",2021-12-01,277.222222222222,"Q1",0.2,-0.75,"молочна продукція та яйця"
"1701","маргарин",2021-12-01,83.2,"Q1",0.25,0,"молочна продукція та яйця"
"1702","яйця",2021-12-01,37.375,"Q1",1,8.3,"молочна продукція та яйця"
"1703","філе куряче",2021-12-01,129.9,"Q1",1,0.15,"м’ясо"
"1704","свинина",2021-12-01,129.9,"Q1",1,10,"м’ясо"
"1705","вирізка свиняча",2021-12-01,172.95,"Q1",1,0.29,"м’ясо"
"1706","свинина гуляш",2021-12-01,105.95,"Q1",1,0,"м’ясо"
"1707","свинина фарш",2021-12-01,104.95,"Q1",1,0.012,"м’ясо"
"1708","свинина ребра",2021-12-01,112.95,"Q1",1,0,"м’ясо"
"1709","субпродукти яловичні",2021-12-01,35.95,"Q1",1,0,"м’ясо"
"1710","яловичина фарш",2021-12-01,160.68,"Q1",1,0,"м’ясо"
"1711","субпродукти свинячі",2021-12-01,37.84,"Q1",1,0,"м’ясо"
"1712","яловичина",2021-12-01,232.95,"Q1",1,0,"м’ясо"
"1713","яловичина ребра",2021-12-01,136.95,"Q1",1,0,"м’ясо"
"1714","сало",2021-12-01,116.36,"Q1",1,0,"м’ясо"
"1715","вирізка яловича",2021-12-01,425.95,"Q1",1,0,"м’ясо"
"1716","риба червона",2021-12-01,379,"Q1",1,6.9,"риба та морепродукти"
"1717","риба річна",2021-12-01,95.9,"Q1",1,39,"риба та морепродукти"
"1718","сосиски, сардельки вищого ґатунку",2021-12-01,183.366666666667,"Q1",1,2.2,"ковбасні вироби"
"1719","ковбаси варені вищого ґатунку",2021-12-01,160.65,"Q1",1,-0.25,"ковбасні вироби"
"1720","сосиски, сардельки першого ґатунку",2021-12-01,111.7,"Q1",1,-3,"ковбасні вироби"
"1721","ковбаси сирокопчені в/ґ",2021-12-01,394.1,"Q1",1,0,"ковбасні вироби"
"1722","ковбаси варено-копчені в/ґ",2021-12-01,219.12,"Q1",1,-1.3,"ковбасні вироби"
"1723","ковбаси варені першого ґатунку",2021-12-01,108.742857142857,"Q1",1,1.8,"ковбасні вироби"
"1724","пиво",2021-12-01,43.6,"Q1",0.5,2.5,"алкоголь"
"1725","вироби з м’яса делікатесні",2021-12-01,257,"Q1",1,1.2,"ковбасні вироби"
"1726","оселедці",2021-12-01,149.444444444444,"Q1",0.18,4.3,"риба та морепродукти"
"1727","скумбрія копчена",2021-12-01,207.8,"Q1",1,0,"риба та морепродукти"
"1728","ікра червона",2021-12-01,1495.20833333333,"Q1",0.1,9.7,"риба та морепродукти"
"1729","морепродукти",2021-12-01,184.3,"Q1",0.2,0.99,"риба та морепродукти"
"1730","вино червоне сухе",2021-12-01,160.88,"Q1",0.75,0.63,"алкоголь"
"1731","вино біле сухе",2021-12-01,157.2,"Q1",0.75,2.6,"алкоголь"
"1732","сіль",2021-12-01,26.4,"Q1",0.5,-5.2,"соуси та спеції"
"1733","мед",2021-12-01,171.6,"Q1",0.25,7.4,"солодощі"
"1734","крупи гречані",2021-12-01,54.275,"Q1",1,6.5,"бакалея"
"1735","рис",2021-12-01,48.5849056603774,"Q1",1,-1.4,"бакалея"
"1736","пшоно",2021-12-01,20.41,"Q1",1,0,"бакалея"
"1737","крупи манні",2021-12-01,20.9,"Q1",1,9.1,"бакалея"
"1738","пластівці вівсяні",2021-12-01,34.25,"Q1",0.5,0,"бакалея"
"1739","крупи ячні",2021-12-01,17.8875,"Q1",0.8,5,"бакалея"
"1740","квасоля",2021-12-01,89.55,"Q1",0.2,1.3,"бакалея"
"1741","макарони",2021-12-01,55.5,"Q1",0.5,15,"бакалея"
"1742","борошно пшеничне",2021-12-01,17.1,"Q1",1,0,"бакалея"
"1743","цукор",2021-12-01,27.2,"Q1",0.005,0,"бакалея"
"1744","ром",2021-12-01,389,"Q1",0.7,-3.4,"алкоголь"
"1745","коньяк",2021-12-01,303.8,"Q1",0.5,-0.14,"алкоголь"
"1746","супи",2021-12-01,207.981818181818,"Q1",0.05,0.6,"бакалея"
"1747","віскі",2021-12-01,528.428571428571,"Q1",0.7,3.9,"алкоголь"
"1748","майонез",2021-12-01,71.6666666666667,"Q1",0.3,0,"соуси та спеції"
"1749","паста томатна",2021-12-01,65.105,"Q1",0.07,18,"соуси та спеції"
"1750","кетчуп томатний",2021-12-01,47,"Q1",0.25,5,"соуси та спеції"
"1751","олія соняшникова",2021-12-01,63,"Q1",0.85,0,"олія"
"1752","олія оливкова",2021-12-01,328,"Q1",0.5,0,"олія"
"1753","консерви рибні в олії",2021-12-01,237.291666666667,"Q1",0.24,11,"риба та морепродукти"
"1754","горошок консервований",2021-12-01,56.6045548654244,"Q1",0.4,-3.7,"консервовані овочі і гриби"
"1755","кукурудза консервована",2021-12-01,70.5808823529412,"Q1",0.34,-5.4,"консервовані овочі і гриби"
"1756","гриби консервовані",2021-12-01,109.861111111111,"Q1",0.58,-5,"консервовані овочі і гриби"
"1757","карамель",2021-12-01,74.325,"Q1",1,-0.97,"солодощі"
"1758","зефір",2021-12-01,108.857142857143,"Q1",1,2.5,"солодощі"
"1759","цукерки шоколадні",2021-12-01,330.133333333333,"Q1",0.2,-0.54,"солодощі"
"1760","вафлі",2021-12-01,121.857142857143,"Q1",1,0.08,"солодощі"
"1761","печиво здобне",2021-12-01,97.1666666666667,"Q1",0.3,-2.8,"солодощі"
"1762","печиво затяжне",2021-12-01,74.99,"Q1",0.11,0,"солодощі"
"1763","сік апельсиновий",2021-12-01,40.8,"Q1",1,7.9,"безалкогольні напої"
"1764","сік яблучний",2021-12-01,24.3157894736842,"Q1",1,2.4,"безалкогольні напої"
"1765","шампанське",2021-12-01,145.333333333333,"Q1",0.75,-0.82,"алкоголь"
"1766","кава мелена",2021-12-01,289.2,"Q1",0.25,4,"кава і чай"
"1767","кава розчинна",2021-12-01,855.307030129125,"Q1",0.1,1.3,"кава і чай"
"1768","чай у пакетиках",2021-12-01,568,"Q1",0.05,0.64,"кава і чай"
"1769","солодка вода",2021-12-01,14.0075,"Q1",0.5,-2.7,"безалкогольні напої"
"1770","горілка",2021-12-01,184.142857142857,"Q1",0.5,-0.078,"алкоголь"
"1771","кабачки",2021-12-01,49.3375,"Q1",1,-14,"овочі"
"1772","сигарети з фільтром медіум класу",2021-12-01,60,"Q1",1,1.7,"сигарети"
"1773","сигарети з фільтром преміум класу",2021-12-01,63.5,"Q1",1,0,"сигарети"
"1774","батон",2022-01-01,9,"min",0.4,-3.1,"хліб"
"1775","хліб цільнозерновий",2022-01-01,53.3,"min",0.3,14,"хліб"
"1776","хліб житньо-пшеничний",2022-01-01,33.3333333333333,"min",0.4,25,"хліб"
"1777","хліб пшеничний",2022-01-01,9.48,"min",0.6,0,"хліб"
"1778","торти",2022-01-01,119,"min",0.85,33,"солодощі"
"1779","банани",2022-01-01,29.7,"min",1,6.8,"фрукти"
"1780","мандарини",2022-01-01,33.9,"min",1,15,"фрукти"
"1781","апельсини",2022-01-01,18.9,"min",1,0,"фрукти"
"1782","ківі",2022-01-01,29.9,"min",1,0,"фрукти"
"1783","лимони",2022-01-01,9.5,"min",1,0,"фрукти"
"1784","яблука",2022-01-01,6.9,"min",1,0,"фрукти"
"1785","виноград",2022-01-01,29.9,"min",1,50,"фрукти"
"1786","ягоди",2022-01-01,79.5,"min",0.25,0,"фрукти"
"1787","кавуни",2022-01-01,6.5,"min",1,0,"фрукти"
"1788","цибуля ріпчаста",2022-01-01,5.2,"min",1,0,"овочі"
"1789","морква",2022-01-01,11.9,"min",1,57,"овочі"
"1790","картопля",2022-01-01,7.2,"min",1,0,"овочі"
"1791","буряк",2022-01-01,6.5,"min",1,0,"овочі"
"1792","капуста білокачанна",2022-01-01,15.4,"min",1,73,"овочі"
"1793","кабачки",2022-01-01,53.5,"min",1,9.5,"овочі"
"1794","часник",2022-01-01,18.9,"min",1,12,"овочі"
"1795","помідори",2022-01-01,135.6,"min",0.25,13,"овочі"
"1796","огірки",2022-01-01,44.9,"min",1,29,"овочі"
"1797","баклажани",2022-01-01,35,"min",1,0,"овочі"
"1798","перець солодкий",2022-01-01,29.5,"min",1,20,"овочі"
"1799","гриби",2022-01-01,58.7058823529412,"min",0.25,13,"овочі"
"1800","салати",2022-01-01,19.5,"min",1,18,"овочі"
"1801","сухофрукти",2022-01-01,66,"min",0.2,0,"сухофрукти"
"1802","цукати",2022-01-01,227.133333333333,"min",0.15,0,"солодощі"
"1803","сири плавлені",2022-01-01,140,"min",0.09,33,"молочна продукція та яйця"
"1804","сири розсольні",2022-01-01,105.521739130435,"min",1,6.6,"молочна продукція та яйця"
"1805","крем-сир",2022-01-01,71.2,"min",0.125,0,"молочна продукція та яйця"
"1806","молоко пастеризоване жирністю до 2,6% включно",2022-01-01,26.1927945472249,"min",0.9,0,"молочна продукція та яйця"
"1807","молоко з підвищеним вмістом жиру",2022-01-01,25.5555555555556,"min",0.95,-1.3,"молочна продукція та яйця"
"1808","сири м’які нежирні",2022-01-01,94.975,"min",0.2,0,"молочна продукція та яйця"
